created_date,party_key,status,action_codes,risk_rating,outcomes,explanations,risk_score,updated_date
2024-08-28 12:50:34.000,0d510b0d-4908-4be2-b77c-a098b54777ad,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-08-28 12:50:34.000
2024-09-04 12:55:31.000,0d73318c-cfef-40b3-975a-414e41a5419a,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-09-04 12:55:31.000
2024-11-05 18:25:32.000,0d86ba1e-323d-422c-a0f9-8bf1fffda12a,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-05 18:25:32.000
2024-11-08 13:44:38.000,0dcf2c9e-8d11-41b7-8dca-d7058d2cee21,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-08 13:44:38.000
2024-12-05 12:43:04.000,0e14a3af-06a2-4c2f-b67b-edd4778ec94c,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-12-05 12:43:04.000
2024-05-28 11:13:32.000,0e5feabc-d83e-4308-aa93-630dd92124af,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-05-28 11:13:32.000
2024-08-02 07:42:03.000,0eca5c05-55c4-42ed-a041-f681b12600f1,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-08-02 07:42:03.000
2024-09-20 09:58:25.000,0f4af134-06ac-4bc9-9631-ba9375484c22,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-09-20 09:58:25.000
2024-07-05 13:04:51.000,0fbad3cf-f5be-4508-b63d-ee1254ee8a2d,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-07-05 13:04:51.000
2025-01-17 07:39:03.000,101b69bd-3e9f-45d4-93e9-127a86cc80f1,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],235,2025-01-17 07:39:03.000
2024-08-01 08:54:22.000,1025913c-d17c-4607-9b8a-e09c88ac9b36,ok,[],High Risk,"{rca=no match, account_opening_decision=review, risk_scoring_decision=true, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=true, internal_lists=no match",[],793,2024-08-01 08:54:22.000
2024-11-12 12:06:00.000,1027dbf1-d76c-4281-ab82-f700da1c16a3,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-12 12:06:00.000
2025-01-24 08:59:27.000,108ec45a-96f8-4112-8525-5d9de0061dba,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],235,2025-01-24 08:59:27.000
2024-11-05 09:25:45.000,10975484-3943-4450-b8cb-45ede9b107a4,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-05 09:25:45.000
2025-01-15 04:15:34.000,10c719fd-a63d-413c-885c-58d4b27390da,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],235,2025-01-15 04:15:34.000
2024-11-18 04:52:04.000,11681b50-03fd-43d2-aaba-254fa42bb091,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-11-18 04:52:04.000
2024-10-09 09:55:32.000,11f5ae5d-05ae-40af-a016-dca9823b620b,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-10-09 09:55:32.000
2024-09-26 02:45:19.000,1225f336-1638-4e80-8b6d-f3ff3b7761fd,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-09-26 02:45:19.000
2024-05-28 19:32:29.000,122ba44f-2ef7-456d-bfd7-baf7de5f3237,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-05-28 19:32:29.000
2024-12-11 08:21:45.000,1234ccb8-5eca-4302-82da-9e293d0c696f,ok,[],Low Risk,"{rca=no match, account_opening_decision=approve, risk_scoring_decision=false, others_lists=no match, fraud=false, adverse_media=no match, pep=no match, overall_customer_screening=no match, sanctions=no match, waiting_enrichment=false, internal_lists=no ma",[],210,2024-12-11 08:21:45.000
