metadata_event_type,metadata_event_type_key_name,metadata_event_metadata_version,id,status,type,expires_at,activated_at,ordered_at,effective_from,canceled_at,cancelation_reason,created_at,updated_at,replacement_reason,replacement_for,replacement_by,subscription_key,party_key,card_product_id
INSERT,cardId,1.0.0,365a3962-f4d2-4ed6-982c-44b49080db48,NEW,VIRTUAL,,,,2023-12-13,,,2023-12-13 19:38:52.542,2023-12-13 19:38:52.542,,,,051b939f-56c5-447c-bf5b-b3468455044a,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
UPDATE,cardId,1.0.0,2decd138-b79a-4c55-a9c9-33e97f3e44df,ACTIVE,VIRTUAL,2028-12-31,2023-12-13 20:50:08.335,2023-12-13 20:50:08.335,2023-12-13,,,2023-12-13 20:49:59.723,2023-12-13 20:50:08.346,,,,24244339-bc90-4914-a4bb-780d4be12b4f,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
INSERT,cardId,1.0.0,f6125205-6a75-4593-b58b-7dac2ad8ac2e,NEW,VIRTUAL,,,,2023-12-13,,,2023-12-13 19:47:58.825,2023-12-13 19:47:58.825,,,,0c0e9fad-5bf0-4e39-bfc4-8062286ac38c,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
INSERT,cardId,1.0.0,2e6d3676-caa7-408f-b987-f2144bea7534,NEW,VIRTUAL,,,,2024-02-13,,,2024-02-13 14:09:10.695,2024-02-13 14:09:10.695,,,,cbcec3c4-7a99-4dd7-95be-51e21ae3c3e3,0042a796-5342-4e10-8c26-f3cd5cd01995,e14371c2-0463-4dc4-b9e0-ea805015d31c
INSERT,cardId,1.0.0,68aabd7e-4418-4ae5-8aa9-fec146b20927,NEW,VIRTUAL,,,,2023-12-13,,,2023-12-13 19:06:21.442,2023-12-13 19:06:21.442,,,,7ed66e7d-0b4a-4647-8e95-2578fd6372db,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
UPDATE,cardId,1.0.0,fe588d35-a1ef-4c0f-a458-c09b74de26e8,ACTIVE,VIRTUAL,2029-02-28,2024-02-13 13:29:42.318,2024-02-13 13:29:42.318,2024-02-13,,,2024-02-13 13:29:35.282,2024-02-13 13:29:42.335,,,,0b7358df-cdeb-454d-ab69-f22a44f030da,0042a796-5342-4e10-8c26-f3cd5cd01995,e14371c2-0463-4dc4-b9e0-ea805015d31c
INSERT,cardId,1.0.0,52f0e566-d608-40eb-a55f-aa8b2e44c475,NEW,VIRTUAL,,,,2024-02-13,,,2024-02-13 12:36:17.404,2024-02-13 12:36:17.404,,,,e2bb1a0e-082c-4d66-9b9e-27ac33ade7eb,0042a796-5342-4e10-8c26-f3cd5cd01995,e14371c2-0463-4dc4-b9e0-ea805015d31c
UPDATE,cardId,1.0.0,ed136ba9-b4d4-410d-bcdc-f1474c80a17b,ACTIVE,VIRTUAL,2028-09-30,2023-09-07 07:23:24.473,2023-09-07 07:23:24.473,2023-09-07,,,2023-09-07 07:23:17.181,2023-09-07 07:23:24.591,,,,aeadf5a3-2d9c-46a6-aed3-b48b68cf2742,0042a796-5342-4e10-8c26-f3cd5cd01995,9b19c035-031f-47a9-8568-b5fa8212d0c9
INSERT,cardId,1.0.0,da2807e7-8610-4b16-b22f-6bffcd22aa60,NEW,VIRTUAL,,,,2023-12-13,,,2023-12-13 20:42:53.458,2023-12-13 20:42:53.458,,,,97fde5e6-33fe-40ef-9ce7-ac0708649782,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
INSERT,cardId,1.0.0,f7392294-3028-4d4a-ada6-5fc4ca510f8c,NEW,VIRTUAL,,,,2024-10-15,,,2024-10-15 10:42:09.489,2024-10-15 10:42:09.489,,,,bff03ece-ef84-44a9-b9af-5ec98c53120e,0042a796-5342-4e10-8c26-f3cd5cd01995,c5bed173-c64e-464b-bead-98583953b41a
INSERT,cardId,1.0.0,44358157-7cd8-4f86-b68c-303e4c4cc23d,NEW,VIRTUAL,,,,2023-12-13,,,2023-12-13 19:54:55.869,2023-12-13 19:54:55.869,,,,3fad035e-44eb-4354-941a-0ba62268e415,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
